id,status,stage,name,ref,duration,queued_duration,created_at,failure_reason,web_url
7454189,success,zombienet,zombienet-polkadot-functional-0002-parachains-disputes,master,779.4511,16.770187,2024-09-27T12:16:16.303Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454189
7454188,success,zombienet,zombienet-polkadot-functional-0001-parachains-pvf,master,815.12616,16.436392,2024-09-27T12:16:16.295Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454188
7454187,success,zombienet,zombienet-cumulus-0009-elastic_pov_recovery,master,749.74005,16.08556,2024-09-27T12:16:16.288Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454187
7454186,success,zombienet,zombienet-cumulus-0008-elastic_authoring,master,891.9706,15.662068,2024-09-27T12:16:16.281Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454186
7454185,success,zombienet,zombienet-cumulus-0007-full_node_warp_sync,master,626.2902,15.182133,2024-09-27T12:16:16.274Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454185
7454184,success,zombienet,zombienet-cumulus-0006-rpc_collator_builds_blocks,master,785.27277,14.769012,2024-09-27T12:16:16.267Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454184
7454183,success,zombienet,zombienet-cumulus-0005-migrate_solo_to_para,master,682.8896,14.327316,2024-09-27T12:16:16.260Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454183
7454182,success,zombienet,zombienet-cumulus-0004-runtime_upgrade,master,627.56854,13.853881,2024-09-27T12:16:16.253Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454182
7454181,success,zombienet,zombienet-cumulus-0003-full_node_catching_up,master,670.48267,13.398665,2024-09-27T12:16:16.246Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454181
7454180,success,zombienet,zombienet-cumulus-0002-pov_recovery,master,1021.94073,13.04931,2024-09-27T12:16:16.239Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454180
7454179,success,zombienet,zombienet-cumulus-0001-sync_blocks_from_tip_without_connected_collator,master,718.99347,12.573227,2024-09-27T12:16:16.231Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454179
7454178,success,zombienet,zombienet-substrate-0003-block-building-warp-sync,master,392.00854,166.91393,2024-09-27T12:16:16.224Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454178
7454177,success,zombienet,zombienet-substrate-0002-validators-warp-sync,master,408.61407,137.00784,2024-09-27T12:16:16.217Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454177
7454176,success,zombienet,zombienet-substrate-0001-basic-warp-sync,master,314.7958,103.826454,2024-09-27T12:16:16.210Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454176
7454175,success,zombienet,zombienet-substrate-0000-block-building,master,351.0039,73.97087,2024-09-27T12:16:16.203Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454175
7454127,failed,zombienet,zombienet-parachain-template-smoke,5616,979.2029,2.49307,2024-09-27T12:07:50.290Z,job_execution_timeout,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454127
7454126,success,zombienet,zombienet-bridges-0002-free-headers-synced-while-idle,5616,1003.10706,1.370913,2024-09-27T12:07:50.284Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454126
7454125,failed,zombienet,zombienet-bridges-0001-asset-transfer-works,5616,988.25934,0.981547,2024-09-27T12:07:50.277Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454125
7454124,failed,zombienet,zombienet-polkadot-coretime-revenue,5616,2336.454,27.247663,2024-09-27T12:07:50.270Z,runner_system_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454124
7454123,success,zombienet,zombienet-polkadot-malus-0001-dispute-valid,5616,603.17395,19.774523,2024-09-27T12:07:50.263Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454123
7454122,success,zombienet,zombienet-polkadot-misc-0002-upgrade-node,5616,632.37463,19.319157,2024-09-27T12:07:50.256Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454122
7454121,success,zombienet,zombienet-polkadot-misc-0001-parachains-paritydb,5616,817.99677,18.856956,2024-09-27T12:07:50.248Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454121
7454120,success,zombienet,zombienet-polkadot-smoke-0005-precompile-pvf-smoke,5616,934.55585,18.432583,2024-09-27T12:07:50.240Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454120
7454119,failed,zombienet,zombienet-polkadot-smoke-0004-coretime-smoke-test,5616,1552.5815,19.797602,2024-09-27T12:07:50.232Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454119
7454118,success,zombienet,zombienet-polkadot-smoke-0003-deregister-register-validator,5616,682.7723,17.156075,2024-09-27T12:07:50.224Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454118
7454117,success,zombienet,zombienet-polkadot-smoke-0002-parachains-parachains-upgrade-smoke,5616,736.7232,16.670914,2024-09-27T12:07:50.216Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454117
7454116,success,zombienet,zombienet-polkadot-smoke-0001-parachains-smoke-test,5616,490.98807,16.218346,2024-09-27T12:07:50.208Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454116
7454115,success,zombienet,zombienet-polkadot-functional-0015-coretime-shared-core,5616,1140.7887,15.805329,2024-09-27T12:07:50.201Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454115
7454114,failed,zombienet,zombienet-polkadot-functional-0014-chunk-fetching-network-compatibility,5616,1004.0051,17.434435,2024-09-27T12:07:50.193Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454114
7454113,success,zombienet,zombienet-polkadot-functional-0013-systematic-chunk-recovery,5616,861.4704,16.96307,2024-09-27T12:07:50.185Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454113
7454112,success,zombienet,zombienet-polkadot-functional-0012-spam-statement-distribution-requests,5616,628.04877,16.557228,2024-09-27T12:07:50.177Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454112
7454111,success,zombienet,zombienet-polkadot-elastic-scaling-0002-elastic-scaling-doesnt-break-parachains,5616,783.4276,16.011322,2024-09-27T12:07:50.165Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454111
7454110,success,zombienet,zombienet-polkadot-elastic-scaling-0001-basic-3cores-6s-blocks,5616,592.7921,15.58022,2024-09-27T12:07:50.157Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454110
7454109,success,zombienet,zombienet-polkadot-functional-0011-async-backing-6-seconds-rate,5616,831.568,15.104764,2024-09-27T12:07:50.150Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454109
7454108,success,zombienet,zombienet-polkadot-functional-0010-validator-disabling,5616,467.12137,14.665757,2024-09-27T12:07:50.142Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454108
7454107,failed,zombienet,zombienet-polkadot-functional-0009-approval-voting-coalescing,5616,753.88403,14.254926,2024-09-27T12:07:50.134Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454107
7454106,success,zombienet,zombienet-polkadot-functional-0008-dispute-old-finalized,5616,791.04016,13.773658,2024-09-27T12:07:50.127Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454106
7454105,success,zombienet,zombienet-polkadot-functional-0007-dispute-freshly-finalized,5616,762.32983,13.308366,2024-09-27T12:07:50.119Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454105
7454104,success,zombienet,zombienet-polkadot-functional-0006-parachains-max-tranche0,5616,766.8326,12.870144,2024-09-27T12:07:50.111Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454104
7454103,success,zombienet,zombienet-polkadot-functional-0005-parachains-disputes-past-session,5616,965.8606,12.463076,2024-09-27T12:07:50.103Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454103
7454102,success,zombienet,zombienet-polkadot-functional-0004-parachains-disputes-garbage-candidate,5616,849.8313,12.017248,2024-09-27T12:07:50.095Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454102
7454101,success,zombienet,zombienet-polkadot-functional-0003-beefy-and-mmr,5616,436.25998,11.581946,2024-09-27T12:07:50.087Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454101
7454100,failed,zombienet,zombienet-polkadot-functional-0002-parachains-disputes,5616,426.78006,11.14437,2024-09-27T12:07:50.079Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454100
7454099,success,zombienet,zombienet-polkadot-functional-0001-parachains-pvf,5616,523.4277,10.765514,2024-09-27T12:07:50.071Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454099
7454098,success,zombienet,zombienet-cumulus-0009-elastic_pov_recovery,5616,606.6056,24.410196,2024-09-27T12:07:50.063Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454098
7454097,success,zombienet,zombienet-cumulus-0008-elastic_authoring,5616,723.4948,23.99459,2024-09-27T12:07:50.055Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454097
7454096,success,zombienet,zombienet-cumulus-0007-full_node_warp_sync,5616,271.66806,23.6052,2024-09-27T12:07:50.043Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454096
7454095,failed,zombienet,zombienet-cumulus-0006-rpc_collator_builds_blocks,5616,341.6396,23.192535,2024-09-27T12:07:50.034Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454095
7454094,success,zombienet,zombienet-cumulus-0005-migrate_solo_to_para,5616,468.3443,22.704117,2024-09-27T12:07:50.024Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454094
7454093,success,zombienet,zombienet-cumulus-0004-runtime_upgrade,5616,383.03683,22.161835,2024-09-27T12:07:50.015Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454093
7454092,success,zombienet,zombienet-cumulus-0003-full_node_catching_up,5616,298.8801,21.640951,2024-09-27T12:07:50.007Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454092
7454091,success,zombienet,zombienet-cumulus-0002-pov_recovery,5616,875.81915,21.139872,2024-09-27T12:07:49.998Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454091
